Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
140000,0.15498118,33.26923076923077,-6.67184,29.574364,-2.6694077426387417,-2.6694077426387417,0.4203123581595719,1.0
145000,0.12199338,32.63758389261745,-16.159653,22.092987,-2.5510557042872346,-2.5510557042872346,0.4005196082386995,1.0
150000,0.14291666,65.5,-18.526289,37.81402,-2.441598485599258,-2.441598485599258,0.4722239462686564,1.0
155000,0.158552,79.18032786885246,-20.002226,45.453587,-2.3193649860098957,-2.3193649860098957,1.3866043888265267,1.0
160000,0.08157263,67.36486486486487,-21.841637,40.03186,-2.515070261836455,-2.515070261836455,0.36631419348555644,1.0
165000,0.14463215,65.53424657534246,-15.676738,39.963303,-2.4270426872869333,-2.4270426872869333,0.8321305996924638,1.0
170000,0.22262809,78.61538461538461,-20.364729,37.525635,-2.197853847936942,-2.197853847936942,2.056116682319687,1.0
175000,0.3746531,91.32758620689656,-14.5382805,29.723326,-2.222708762803099,-2.222708762803099,2.0234085181564616,1.0
180000,0.40244672,59.91566265060241,-6.0900073,34.588654,-2.5180674695286407,-2.5180674695286407,2.32732358243294,1.0
185000,0.24388725,145.05714285714285,-8.111707,24.869535,-2.0243805452353425,-2.0243805452353425,1.0443568733882986,1.0
190000,0.37944874,123.58823529411765,-11.312509,27.872242,-2.140767611344071,-2.140767611344071,1.3851667091469555,1.0
195000,0.29967028,61.529411764705884,-15.515841,33.90334,-2.573260010603596,-2.573260010603596,0.8570068356800167,1.0
200000,0.27723196,161.6969696969697,-11.518521,32.149464,-1.8681878669921197,-1.8681878669921197,0.7112227339918414,1.0
205000,0.19277745,117.70454545454545,-2.407133,39.320522,-1.5072325305190197,-1.5072325305190197,4.678223502150802,1.0
210000,0.31580147,171.35714285714286,-14.053531,33.701218,-1.690757115105433,-1.690757115105433,1.5268454861028917,1.0
215000,0.19755366,47.95049504950495,-4.56142,32.763718,-2.4015656855395613,-2.4015656855395613,0.4161697382783042,1.0
220000,0.1806845,56.527027027027025,-9.585253,33.223167,-2.496994567934323,-2.496994567934323,0.27682812304890436,1.0
225000,0.11177039,122.6734693877551,-10.2166815,35.395763,-2.1874353873233,-2.1874353873233,0.8206976768366682,1.0
230000,0.24274372,90.15094339622641,-10.065886,33.319427,-2.1882870197986013,-2.1882870197986013,0.39369644689442657,1.0
235000,0.2129034,77.140625,-10.064537,33.06872,-2.297565595130436,-2.297565595130436,0.744317622964445,1.0
240000,0.43975112,81.19565217391305,-6.9806814,26.797539,-2.3876553155640337,-2.3876553155640337,0.7987085829905056,1.0
245000,0.36256805,104.03571428571429,-13.181449,21.792788,-2.4095527087422934,-2.4095527087422934,0.80074091067707,1.0
250000,0.37223223,79.41538461538461,-12.388014,29.25295,-2.3246697021478955,-2.3246697021478955,0.6222666800586563,1.0
255000,0.31621775,60.25675675675676,-10.527638,29.610313,-2.565945326487223,-2.565945326487223,0.2963499070703983,1.0
260000,0.40127528,55.29032258064516,-9.271815,32.854668,-2.4688452416344693,-2.4688452416344693,0.5133343413276108,1.0
265000,0.2834683,73.95652173913044,-6.0221663,26.971128,-2.244350717821415,-2.244350717821415,0.5102078484209336,1.0
270000,0.32330737,88.02222222222223,-8.464418,22.651236,-2.304358692434819,-2.304358692434819,0.37294299046144536,1.0
275000,0.24065098,73.025,-10.271742,28.751875,-2.3689088488492787,-2.3689088488492787,0.29794792108874346,1.0
280000,0.24674574,115.075,-14.633034,25.999153,-2.154999978113465,-2.154999978113465,0.3898959115215736,1.0
285000,0.33310196,78.30882352941177,-14.435423,24.453844,-2.5018912844251897,-2.5018912844251897,0.26248548147471057,1.0
290000,0.2620507,50.42718446601942,-12.629413,29.551765,-2.6254235305184244,-2.6254235305184244,0.1952604239477831,1.0
295000,0.4221322,74.73584905660377,-6.7834144,29.926794,-2.235738169876012,-2.235738169876012,0.32095787393945185,1.0
300000,0.2637935,210.45833333333334,-8.718385,27.367098,-1.7473958193634946,-1.7473958193634946,0.7840870510941992,1.0
305000,0.2688828,43.15652173913043,-10.1405945,22.950972,-2.539028692860966,-2.539028692860966,0.22457991316914558,1.0
310000,0.30049595,91.39622641509433,-3.3263853,29.316628,-2.0608557548660498,-2.0608557548660498,1.2587392600611425,1.0
315000,0.27566108,65.98809523809524,-10.127668,23.87419,-2.463479972674566,-2.463479972674566,0.5842993872651063,1.0
320000,0.23490633,53.285714285714285,-9.274938,23.31777,-2.3916517856070794,-2.3916517856070794,0.24245278459569686,1.0
325000,0.2997619,85.53703703703704,-11.606192,21.721806,-2.478783631460233,-2.478783631460233,0.29827579012648625,1.0
330000,0.121324755,57.91860465116279,-13.997657,29.024738,-2.6160569703423007,-2.6160569703423007,0.21583993210955416,1.0
335000,0.19773526,113.04444444444445,-15.378797,31.235722,-2.3841431733559477,-2.3841431733559477,0.3172809782924808,1.0
340000,0.3188101,87.6,-8.812796,25.063578,-2.245489987420539,-2.245489987420539,0.3132496630307287,1.0
345000,0.26785237,72.6268656716418,-13.479624,21.566874,-2.3148850849760114,-2.3148850849760114,1.068275588536774,1.0
350000,0.38715374,132.16666666666666,-12.35069,24.483051,-2.113870251823116,-2.113870251823116,0.31539737527585915,1.0
355000,0.35676983,86.51666666666667,-8.025458,24.29137,-2.313014986800651,-2.313014986800651,0.3977081357811888,1.0
360000,0.32700965,79.19402985074628,-11.554894,23.007225,-2.3918117385028914,-2.3918117385028914,0.3778338951866745,1.0
